subject_id,step,angle,translation,GD_EP,CD_EP,GD_IP,CD_IP
fCMR_Siemens_113,9,0.7424,0.9909,0.0473,4.1838,0.1043,9.9998
fCMR_Siemens_027,9,1.2814,1.611,0.1643,0.9647,0.3416,4.8168
fCMR_Siemens_006,9,2.257,3.0111,0.4496,1.4807,0.7094,8.3232
fCMR_Siemens_144,9,2.7316,2.7136,0.1473,2.0581,0.2137,6.0446
fCMR_Siemens_068,9,2.3144,2.8132,0.5198,6.104,0.5569,13.7172
fCMR_Siemens_198,9,2.0477,2.4804,0.1552,1.7803,0.1846,4.9719
fCMR_Siemens_018,10,2.8339,2.2074,0.2703,0.9115,0.2995,2.501
fCMR_Siemens_113,10,2.3049,1.2375,0.0866,8.0415,0.1148,17.0809
fCMR_Siemens_027,10,2.478,2.0486,0.1889,0.768,0.2139,4.3729
fCMR_Siemens_006,10,2.5688,2.5751,0.2076,1.5652,0.2424,4.8394
fCMR_Siemens_144,10,2.0718,2.6105,0.2158,3.0963,0.2274,7.6959
fCMR_Siemens_068,10,2.6673,3.7995,0.8131,0.8259,0.8204,6.6608
fCMR_Siemens_198,10,0.9859,2.3864,0.2784,1.9764,0.2868,5.6816
fCMR_Siemens_018,11,3.1416,2.0611,0.217,0.3681,0.2302,1.8703
fCMR_Siemens_113,11,1.0035,2.4716,0.1426,10.6404,0.1556,24.1378
fCMR_Siemens_027,11,1.6605,2.7142,0.3448,1.6587,0.385,4.6533
fCMR_Siemens_006,11,3.0044,3.4689,0.2661,2.5906,0.3593,8.1224
fCMR_Siemens_144,11,2.9944,3.2581,0.4351,1.5802,0.965,9.4084
fCMR_Siemens_068,11,2.0229,1.998,0.4856,2.3832,0.5262,8.1364
fCMR_Siemens_198,11,1.8014,2.4232,0.2565,1.0293,0.2723,2.9598
fCMR_Siemens_018,12,2.6803,2.684,0.584,3.8699,0.9568,9.7848
fCMR_Siemens_113,12,3.0276,2.6999,0.1239,7.324,0.1696,16.0151
fCMR_Siemens_027,12,2.9812,1.3195,0.3013,1.4783,0.8299,6.5762
fCMR_Siemens_006,12,2.892,3.1128,0.1694,8.121,0.1948,16.7081
fCMR_Siemens_144,12,0.8524,3.011,0.192,1.7284,0.204,4.5264
fCMR_Siemens_068,12,0.5723,3.1596,0.4798,5.7648,0.4878,13.7001
fCMR_Siemens_198,12,1.2042,0.6203,0.275,2.2182,0.287,4.9862
fCMR_Siemens_018,13,3.1001,1.5231,0.326,2.6707,0.3485,6.0948
fCMR_Siemens_113,13,1.326,2.0492,0.0505,3.9987,0.1172,8.9816
fCMR_Siemens_027,13,2.0498,2.5507,0.2991,1.0412,0.3423,3.529
fCMR_Siemens_006,13,2.9288,1.8507,0.2021,9.3821,0.2595,19.7856
fCMR_Siemens_144,13,1.5865,1.3412,0.2324,4.1916,0.2657,10.9772
fCMR_Siemens_068,13,0.8898,3.0815,0.4538,2.8187,0.8865,8.0139
fCMR_Siemens_198,13,2.2512,1.9814,0.1923,1.9741,0.214,5.6
fCMR_Siemens_018,14,2.6129,2.9887,0.4433,1.2093,0.4588,3.607
fCMR_Siemens_113,14,2.4285,2.3169,0.0757,2.4641,0.1264,7.0599
fCMR_Siemens_027,14,2.8615,3.0603,0.1355,2.2445,0.1597,5.4364
fCMR_Siemens_006,14,3.05,1.8323,0.6673,6.411,1.0966,20.1065
fCMR_Siemens_144,14,0.7463,2.6497,0.198,1.38,0.2185,5.0064
fCMR_Siemens_068,14,2.4915,2.9893,0.6125,3.2442,0.7684,10.5182
fCMR_Siemens_198,14,2.7026,3.1677,0.2469,1.4317,0.2734,3.7764
fCMR_Siemens_018,15,1.3093,2.6505,0.2085,1.5728,0.3554,3.5779
fCMR_Siemens_113,15,3.0318,1.4545,0.1766,10.4901,0.21,22.0372
fCMR_Siemens_027,15,2.1828,1.664,0.2131,0.0421,0.2949,1.6874
fCMR_Siemens_006,15,2.0372,2.2006,0.2189,6.4426,0.2349,13.7923
fCMR_Siemens_144,15,2.9329,2.529,0.2096,0.9154,0.8461,3.6336
fCMR_Siemens_068,15,2.6717,2.8841,0.6176,1.0136,0.6402,4.6455
fCMR_Siemens_198,15,2.1063,3.5235,0.2483,0.1171,0.2778,1.4855
fCMR_Siemens_018,16,2.8493,2.6053,0.3501,0.7806,0.3676,1.996
fCMR_Siemens_113,16,2.9813,2.4242,0.2094,12.8788,0.2413,27.9739
fCMR_Siemens_027,16,3.1118,2.4177,0.356,2.6801,0.377,6.7595
fCMR_Siemens_006,16,2.6184,2.5695,0.0843,5.3454,0.1446,12.3482
fCMR_Siemens_144,16,1.477,2.9198,0.313,2.8592,0.3377,7.2318
fCMR_Siemens_068,16,2.5911,2.2206,0.6885,1.2555,0.6986,6.0136
