subject_id,step,angle,translation,GD_EP,CD_EP,GD_IP,CD_IP
fCMR_Philips_104,3,2.0718,2.6105,0.1219,1.2168,0.182,2.777
fCMR_Philips_094,3,2.6673,3.7995,0.2285,2.2214,0.2794,5.4569
fCMR_Philips_136,3,0.9859,2.3864,0.1466,0.3718,0.211,1.2831
fCMR_Philips_087,3,3.1416,2.0611,0.3892,3.665,0.4015,7.8038
fCMR_Philips_003,3,1.0035,2.4716,0.2214,0.9556,0.2456,2.5556
fCMR_Philips_047,3,1.6605,2.7142,0.2189,6.5027,0.3333,13.7078
fCMR_Philips_057,3,3.0044,3.4689,0.146,0.9141,0.1626,2.2148
fCMR_Philips_097,3,2.9944,3.2581,0.5497,0.0794,0.5725,0.5126
fCMR_Philips_070,3,2.0229,1.998,0.4089,1.9539,0.4555,4.8482
fCMR_Philips_068,3,1.8014,2.4232,0.1199,0.8306,0.217,2.0761
fCMR_Philips_117,4,2.6803,2.684,0.177,0.9086,0.1967,2.5668
fCMR_Philips_002,4,3.0276,2.6999,0.2721,1.6975,0.2779,4.0256
fCMR_Philips_052,4,2.9812,1.3195,0.1816,0.2473,0.2486,1.1412
fCMR_Philips_123,4,2.892,3.1128,0.0702,1.3051,0.2037,3.3137
fCMR_Philips_079,4,0.8524,3.011,0.1908,1.7044,0.2075,4.2714
fCMR_Philips_041,4,0.5723,3.1596,0.2537,0.5924,0.3078,2.0286
fCMR_Philips_090,4,1.2042,0.6203,0.1122,1.9592,0.1852,4.5494
fCMR_Philips_114,4,3.1001,1.5231,0.3493,2.0004,0.396,4.4643
fCMR_Philips_065,4,1.326,2.0492,0.201,1.2097,0.2157,2.6527
fCMR_Philips_132,4,2.0498,2.5507,0.2738,4.92,0.276,10.7012
fCMR_Philips_031,4,2.9288,1.8507,0.1075,1.818,0.172,4.3648
fCMR_Philips_104,4,1.5865,1.3412,0.2967,1.1965,0.3393,2.9037
fCMR_Philips_094,4,0.8898,3.0815,0.1776,1.3863,0.2192,3.2735
fCMR_Philips_136,4,2.2512,1.9814,0.205,1.0495,0.2447,2.8494
fCMR_Philips_087,4,2.6129,2.9887,0.4802,3.3887,0.4823,7.4824
fCMR_Philips_003,4,2.4285,2.3169,0.1674,0.8016,0.1836,2.2473
fCMR_Philips_047,4,2.8615,3.0603,0.356,6.3276,0.3848,14.2166
fCMR_Philips_057,4,3.05,1.8323,0.3601,0.7363,0.3648,1.7336
fCMR_Philips_097,4,0.7463,2.6497,0.499,0.222,0.5095,1.1877
fCMR_Philips_070,4,2.4915,2.9893,0.5177,1.4696,0.5515,3.8876
fCMR_Philips_068,4,2.7026,3.1677,0.1503,1.0198,0.1751,2.5192
fCMR_Philips_117,5,1.3093,2.6505,0.2433,0.1673,0.2845,1.0865
fCMR_Philips_002,5,3.0318,1.4545,0.2372,1.6868,0.2596,3.6276
fCMR_Philips_052,5,2.1828,1.664,0.1523,0.7538,0.1809,2.1996
fCMR_Philips_123,5,2.0372,2.2006,0.1142,0.6553,0.1247,2.0943
fCMR_Philips_079,5,2.9329,2.529,0.2708,1.8877,0.4317,5.9202
fCMR_Philips_041,5,2.6717,2.8841,0.2238,3.6125,0.2615,8.484
fCMR_Philips_090,5,2.1063,3.5235,0.1228,0.8064,0.1393,2.1374
fCMR_Philips_114,5,2.8493,2.6053,0.2636,1.8114,0.3145,4.4601
fCMR_Philips_065,5,2.9813,2.4242,0.0464,1.1539,0.1619,2.7967
fCMR_Philips_132,5,3.1118,2.4177,0.2644,4.5983,0.2881,9.8458
fCMR_Philips_031,5,2.6184,2.5695,0.0776,2.4861,0.1087,5.8878
fCMR_Philips_104,5,1.477,2.9198,0.0949,1.8546,0.2951,4.7948
fCMR_Philips_094,5,2.5911,2.2206,0.2209,0.3333,0.2433,1.3544
fCMR_Philips_136,5,2.8067,2.3632,0.0899,0.2509,0.1619,0.7645
fCMR_Philips_087,5,3.1059,2.0913,0.4264,1.724,0.4524,3.807
fCMR_Philips_003,5,2.9478,2.005,0.211,0.2643,0.2302,0.9776
fCMR_Philips_047,5,2.2485,2.6442,0.3994,6.4628,0.4474,13.4216
fCMR_Philips_057,5,1.2741,2.7194,0.2872,1.0996,0.2934,2.84
fCMR_Philips_097,5,2.3848,2.6989,0.3629,0.5986,0.3987,2.037
fCMR_Philips_070,5,1.9351,2.8141,0.52,0.8621,0.5453,2.6718
fCMR_Philips_068,5,2.346,2.8881,0.1584,0.7665,0.2052,1.8018
fCMR_Philips_117,6,3.0206,2.6229,0.1835,1.2442,0.2093,3.1113
fCMR_Philips_002,6,3.0954,3.2779,0.2536,2.0316,0.2806,4.5508
fCMR_Philips_052,6,2.5048,2.8167,0.1351,0.7326,0.1588,2.2541
fCMR_Philips_123,6,1.8831,2.9773,0.238,0.7962,0.7969,2.4269
fCMR_Philips_079,6,1.4594,2.7995,0.2584,1.2037,0.2941,3.971
fCMR_Philips_041,6,2.3819,3.0389,0.1934,0.6674,0.2223,2.2065
fCMR_Philips_090,6,3.0398,2.7409,0.1589,1.4156,0.1896,3.2265
fCMR_Philips_114,6,2.0013,2.3013,0.2299,1.3516,0.2464,2.9138
fCMR_Philips_065,6,3.0,2.4023,0.2407,0.8888,0.2685,2.1887
fCMR_Philips_132,6,2.3763,1.9304,0.3061,4.3872,0.3263,9.3449
fCMR_Philips_031,6,2.6178,2.9366,0.1814,1.9524,0.2241,5.0634
fCMR_Philips_104,6,1.8828,2.0755,0.1519,2.6075,0.1803,6.236
