subject_id,step,angle,translation,GD_EP,CD_EP,GD_IP,CD_IP
fCMR_Siemens_018,9,2.4751,1.1401,0.4861,1.8081,0.6219,4.703
fCMR_Siemens_113,9,0.7424,0.9909,0.3824,8.6062,0.8662,21.679
fCMR_Siemens_027,9,1.2814,1.611,1.5019,15.1707,1.5868,34.8498
fCMR_Siemens_006,9,2.257,3.0111,1.1263,2.492,1.8737,8.1817
fCMR_Siemens_144,9,2.7316,2.7136,2.1556,3.7248,2.0833,10.0718
fCMR_Siemens_068,9,2.3144,2.8132,2.1715,2.3093,2.2254,6.1527
fCMR_Siemens_198,9,2.0477,2.4804,0.2636,3.9258,0.3752,9.991
fCMR_Siemens_018,10,2.8339,2.2074,0.6535,3.1838,0.6564,7.9195
fCMR_Siemens_113,10,2.3049,1.2375,0.1172,11.9219,0.2068,25.0914
fCMR_Siemens_027,10,2.478,2.0486,0.8179,10.8066,0.9246,26.2734
fCMR_Siemens_006,10,2.5688,2.5751,2.0387,5.1659,2.1141,17.644
fCMR_Siemens_144,10,2.0718,2.6105,2.0795,3.1333,2.0514,8.0056
fCMR_Siemens_068,10,2.6673,3.7995,1.3525,4.6308,1.4935,10.9582
fCMR_Siemens_198,10,0.9859,2.3864,0.2202,1.1967,0.2875,4.3607
fCMR_Siemens_018,11,3.1416,2.0611,0.4632,1.4852,0.4697,4.1204
fCMR_Siemens_113,11,1.0035,2.4716,0.418,22.4014,0.423,45.5813
fCMR_Siemens_027,11,1.6605,2.7142,1.3103,3.42,1.324,8.0518
fCMR_Siemens_006,11,3.0044,3.4689,2.5546,2.7053,2.0767,8.8234
fCMR_Siemens_144,11,2.9944,3.2581,2.7041,6.7389,2.7055,15.5376
fCMR_Siemens_068,11,2.0229,1.998,1.3941,3.4484,1.6938,8.4045
fCMR_Siemens_198,11,1.8014,2.4232,0.2233,2.8514,0.4882,7.6812
fCMR_Siemens_018,12,2.6803,2.684,0.6731,3.9309,0.686,8.9473
fCMR_Siemens_113,12,3.0276,2.6999,0.1506,10.9154,0.2633,22.6765
fCMR_Siemens_027,12,2.9812,1.3195,0.8464,2.9806,1.4584,8.4198
fCMR_Siemens_006,12,2.892,3.1128,1.7096,5.8792,1.7481,15.3242
fCMR_Siemens_144,12,0.8524,3.011,2.288,7.5462,2.2141,17.262
fCMR_Siemens_068,12,0.5723,3.1596,1.2644,7.8638,1.6236,18.7855
fCMR_Siemens_198,12,1.2042,0.6203,0.4343,1.1912,0.629,4.0574
fCMR_Siemens_018,13,3.1001,1.5231,0.8564,5.8231,0.8676,12.9311
fCMR_Siemens_113,13,1.326,2.0492,0.0791,9.071,0.127,18.4992
fCMR_Siemens_027,13,2.0498,2.5507,1.2215,1.4838,1.4293,5.9253
fCMR_Siemens_006,13,2.9288,1.8507,2.6975,10.7252,2.7299,24.2714
fCMR_Siemens_144,13,1.5865,1.3412,2.307,4.3554,2.1323,9.9899
fCMR_Siemens_068,13,0.8898,3.0815,1.0954,2.2395,1.3049,5.5202
fCMR_Siemens_198,13,2.2512,1.9814,2.4477,9.7561,2.1572,23.3006
fCMR_Siemens_018,14,2.6129,2.9887,0.597,3.2388,0.6115,7.142
fCMR_Siemens_113,14,2.4285,2.3169,0.3412,2.439,0.3502,6.6558
fCMR_Siemens_027,14,2.8615,3.0603,1.1298,2.6975,1.2651,14.4416
fCMR_Siemens_006,14,3.05,1.8323,1.6635,4.7638,2.1183,18.9629
fCMR_Siemens_144,14,0.7463,2.6497,2.9949,4.5659,2.9381,12.2978
fCMR_Siemens_068,14,2.4915,2.9893,2.1625,3.1707,2.1315,11.0846
fCMR_Siemens_198,14,2.7026,3.1677,0.1666,3.9132,0.6483,10.4662
fCMR_Siemens_018,15,1.3093,2.6505,0.8572,1.9172,0.8741,5.0555
fCMR_Siemens_113,15,3.0318,1.4545,0.362,15.0765,0.3855,31.211
fCMR_Siemens_027,15,2.1828,1.664,0.8174,0.1711,0.8946,1.8639
fCMR_Siemens_006,15,2.0372,2.2006,2.9631,14.2341,2.6696,31.0864
fCMR_Siemens_144,15,2.9329,2.529,1.1602,3.3992,1.8752,9.6624
fCMR_Siemens_068,15,2.6717,2.8841,1.0787,1.4494,1.1784,4.9219
fCMR_Siemens_198,15,2.1063,3.5235,2.9391,3.6868,1.9018,12.1293
fCMR_Siemens_018,16,2.8493,2.6053,0.8349,3.0204,0.8528,7.0462
fCMR_Siemens_113,16,2.9813,2.4242,0.3054,24.9839,0.3643,52.6983
fCMR_Siemens_027,16,3.1118,2.4177,1.5491,4.9923,1.5609,13.3227
fCMR_Siemens_006,16,2.6184,2.5695,1.6517,4.4131,1.8443,13.4969
fCMR_Siemens_144,16,1.477,2.9198,3.068,6.6269,3.0678,18.0468
