subject_id,step,angle,translation,GD_EP,GD_EP_Q,GD_EP_G,CD_EP,CD_EP_Q,CD_EP_G,GD_IP,CD_IP
fCMR_Siemens_018,7,3.0408,2.9859,0.5346,0.7993,0.5407,2.1248,2.1248,2.1248,0.5676,8.2799
fCMR_Siemens_113,7,2.4417,2.5253,0.0553,0.0553,0.0553,7.6549,7.6549,7.6549,0.152,16.505
fCMR_Siemens_027,7,1.3791,2.5303,0.1816,0.1816,0.1816,1.2704,1.2704,1.2704,0.2029,3.4024
fCMR_Siemens_006,7,3.0447,2.2048,0.3633,0.3631,0.363,2.7353,2.7353,2.7353,0.3975,8.0021
fCMR_Siemens_144,7,1.7503,2.0295,0.143,0.143,0.143,3.6686,3.6686,3.6686,0.1753,7.9365
fCMR_Siemens_068,7,2.5463,2.767,0.7204,0.7206,0.7207,2.5024,2.5024,2.5024,0.7257,6.6865
fCMR_Siemens_198,7,1.303,2.7509,0.1936,0.1936,0.1936,0.2382,0.2382,0.2382,0.2393,2.0737
fCMR_Siemens_018,8,1.7648,2.4986,0.5682,0.5683,0.5683,3.526,3.526,3.526,0.5715,9.5622
fCMR_Siemens_113,8,0.6138,2.0748,0.0415,0.0415,0.0415,5.9885,5.9885,5.9885,0.1124,13.9692
fCMR_Siemens_027,8,2.31,1.345,0.1871,0.1875,0.1876,0.7302,0.7302,0.7302,0.2432,3.5918
fCMR_Siemens_006,8,2.9045,1.5984,0.4942,0.1334,0.5211,1.7755,1.7755,1.7755,0.532,6.1317
fCMR_Siemens_144,8,0.7513,2.8568,0.0918,0.0918,0.0918,0.524,0.524,0.524,0.1284,2.0144
fCMR_Siemens_068,8,2.5759,3.0457,0.4891,0.4904,0.4908,0.397,0.397,0.397,0.501,3.8656
fCMR_Siemens_198,8,2.1548,2.6703,0.2192,0.2192,0.2193,3.0964,3.0964,3.0964,0.2278,7.5058
fCMR_Siemens_018,9,2.4751,1.1401,0.3053,0.3058,0.3059,1.1383,1.1383,1.1383,0.3699,5.1736
fCMR_Siemens_113,9,0.7424,0.9909,0.0144,0.0143,0.0143,5.4299,5.4299,5.4299,0.1384,12.7382
fCMR_Siemens_027,9,1.2814,1.611,0.119,0.119,0.119,0.7502,0.7502,0.7502,0.1313,3.9088
fCMR_Siemens_006,9,2.257,3.0111,0.5159,0.5485,0.5584,0.5844,0.5844,0.5844,0.6276,3.005
fCMR_Siemens_144,9,2.7316,2.7136,0.1159,0.1159,0.1158,2.0202,2.0202,2.0202,0.155,5.7654
fCMR_Siemens_068,9,2.3144,2.8132,0.3848,0.3842,0.384,2.5449,2.5449,2.5449,0.4084,5.7976
fCMR_Siemens_198,9,2.0477,2.4804,0.2164,0.2164,0.2164,1.5129,1.5129,1.5129,0.234,6.1194
fCMR_Siemens_018,10,2.8339,2.2074,0.1697,0.1691,0.1689,1.3491,1.3491,1.3491,0.242,4.3805
fCMR_Siemens_113,10,2.3049,1.2375,0.0582,0.0583,0.0583,4.2023,4.2023,4.2023,0.1064,9.3822
fCMR_Siemens_027,10,2.478,2.0486,0.1897,0.1898,0.1898,1.7221,1.7221,1.7221,0.2066,4.836
fCMR_Siemens_006,10,2.5688,2.5751,0.2321,0.2321,0.2321,1.0206,1.0206,1.0206,0.2436,3.5258
fCMR_Siemens_144,10,2.0718,2.6105,0.1183,0.1183,0.1183,2.2028,2.2028,2.2028,0.154,5.3842
fCMR_Siemens_068,10,2.6673,3.7995,0.718,0.7179,0.7178,2.3565,2.3565,2.3565,0.7687,6.7933
fCMR_Siemens_198,10,0.9859,2.3864,0.2976,0.2976,0.2976,2.9025,2.9025,2.9025,0.3006,7.3776
fCMR_Siemens_018,11,3.1416,2.0611,0.1647,0.1643,0.1642,0.722,0.722,0.722,0.2707,3.525
fCMR_Siemens_113,11,1.0035,2.4716,0.1021,0.1021,0.1021,8.0836,8.0836,8.0836,0.1312,17.5458
fCMR_Siemens_027,11,1.6605,2.7142,0.1422,0.1422,0.1422,1.7001,1.7001,1.7001,0.1832,5.0024
fCMR_Siemens_006,11,3.0044,3.4689,0.2834,0.2833,0.2833,1.3747,1.3747,1.3747,0.2971,4.3681
fCMR_Siemens_144,11,2.9944,3.2581,0.1471,0.3599,0.4849,1.582,1.582,1.582,0.7648,8.1841
fCMR_Siemens_068,11,2.0229,1.998,0.2776,0.2775,0.2775,2.5633,2.5633,2.5633,0.3082,5.8728
fCMR_Siemens_198,11,1.8014,2.4232,0.2271,0.2271,0.2271,2.2304,2.2304,2.2304,0.2572,6.714
fCMR_Siemens_018,12,2.6803,2.684,0.1274,0.1265,0.1262,1.0167,1.0167,1.0167,0.3146,4.4178
fCMR_Siemens_113,12,3.0276,2.6999,0.1135,0.1135,0.1135,3.6721,3.6721,3.6721,0.1356,9.577
fCMR_Siemens_027,12,2.9812,1.3195,0.1114,0.1114,0.1114,2.2324,2.2324,2.2324,0.1778,6.2865
fCMR_Siemens_006,12,2.892,3.1128,0.2687,0.2688,0.2688,3.4623,3.4623,3.4623,0.2901,8.996
fCMR_Siemens_144,12,0.8524,3.011,0.1657,0.1657,0.1657,1.985,1.985,1.985,0.1915,6.1821
fCMR_Siemens_068,12,0.5723,3.1596,0.3337,0.3337,0.3337,7.3413,7.3413,7.3413,0.3424,15.8851
fCMR_Siemens_198,12,1.2042,0.6203,0.2612,0.2612,0.2612,3.2819,3.2819,3.2819,0.2699,7.7238
fCMR_Siemens_018,13,3.1001,1.5231,0.1572,0.1579,0.1581,2.2053,2.2053,2.2053,0.3545,7.4497
fCMR_Siemens_113,13,1.326,2.0492,0.065,0.0649,0.0649,5.507,5.507,5.507,0.0932,14.7601
fCMR_Siemens_027,13,2.0498,2.5507,0.2213,0.2802,0.2214,3.2624,3.2624,3.2624,0.2613,8.9972
fCMR_Siemens_006,13,2.9288,1.8507,0.1305,0.1306,0.1306,5.644,5.644,5.644,0.162,12.2756
fCMR_Siemens_144,13,1.5865,1.3412,0.2067,0.2067,0.2067,1.546,1.546,1.546,0.2185,5.2243
fCMR_Siemens_068,13,0.8898,3.0815,0.252,0.2522,0.2522,2.9234,2.9234,2.9234,0.2836,8.4364
fCMR_Siemens_198,13,2.2512,1.9814,0.2576,0.2576,0.2576,1.7479,1.7479,1.7479,0.272,4.9106
fCMR_Siemens_018,14,2.6129,2.9887,0.298,0.2992,0.2996,1.1308,1.1308,1.1308,0.4422,6.9725
fCMR_Siemens_113,14,2.4285,2.3169,0.048,0.0478,0.0477,6.0988,6.0988,6.0988,0.1951,13.6544
fCMR_Siemens_027,14,2.8615,3.0603,0.0646,0.0646,0.0645,1.7057,1.7057,1.7057,0.1615,4.4474
fCMR_Siemens_006,14,3.05,1.8323,0.2194,0.6896,0.4696,4.6547,4.6547,4.6547,0.7861,14.9202
fCMR_Siemens_144,14,0.7463,2.6497,0.1076,0.1076,0.1076,1.1572,1.1572,1.1572,0.1581,3.1215
fCMR_Siemens_068,14,2.4915,2.9893,0.2551,0.2551,0.255,1.945,1.945,1.945,0.3031,6.0398
fCMR_Siemens_198,14,2.7026,3.1677,0.2441,0.2916,0.2441,1.4242,1.4242,1.4242,0.2701,4.5829
fCMR_Siemens_018,15,1.3093,2.6505,0.4857,0.2317,0.4843,0.8706,0.8706,0.8706,0.4906,3.1972
fCMR_Siemens_113,15,3.0318,1.4545,0.079,0.0791,0.0792,9.1021,9.1021,9.1021,0.1177,19.7341
fCMR_Siemens_027,15,2.1828,1.664,0.2209,0.2439,0.2209,1.0426,1.0426,1.0426,0.2402,3.5032
