subject_id,step,angle,translation,GD_EP,GD_EP_Q,GD_EP_G,CD_EP,CD_EP_Q,CD_EP_G,GD_IP,CD_IP
fCMR_Siemens_018,31,2.8737,2.794,0.3747,0.3748,0.3748,0.7645,0.7645,0.7645,0.3899,3.158
fCMR_Siemens_113,31,2.5765,2.086,0.0294,0.0294,0.0294,3.6033,3.6033,3.6033,0.1112,8.1338
fCMR_Siemens_027,31,2.5915,0.2368,0.2098,0.2098,0.2098,0.5981,0.5981,0.5981,0.2456,3.7403
fCMR_Siemens_006,31,3.069,2.7241,0.2089,0.2087,0.2087,2.8942,2.8942,2.8942,0.2304,7.5084
fCMR_Siemens_144,31,2.3907,3.9404,0.1487,0.1485,0.1485,1.4533,1.4533,1.4533,0.199,3.7111
fCMR_Siemens_068,31,2.1639,2.918,0.7757,0.7764,0.7767,0.4157,0.4157,0.4157,0.7913,3.7061
fCMR_Siemens_198,31,2.5281,1.3241,0.1787,0.1787,0.1787,1.0356,1.0356,1.0356,0.1918,3.608
fCMR_Siemens_018,32,3.0581,2.688,0.3704,0.3935,0.4002,0.5824,0.5824,0.5824,0.5426,4.3324
fCMR_Siemens_113,32,1.7888,2.7443,0.0508,0.0508,0.0508,5.0528,5.0528,5.0528,0.1237,11.3302
fCMR_Siemens_027,32,2.5548,2.8747,0.0916,0.0915,0.0914,3.4546,3.4546,3.4546,0.1738,8.3731
fCMR_Siemens_006,32,2.9178,2.8518,0.2706,0.2706,0.2706,3.0024,3.0024,3.0024,0.2877,7.4901
fCMR_Siemens_144,32,2.4055,1.7805,0.0873,0.0873,0.0873,1.4434,1.4434,1.4434,0.1398,3.7692
fCMR_Siemens_068,32,2.3264,2.3596,0.3243,0.3235,0.3232,3.8071,3.8071,3.8071,0.3694,10.7938
fCMR_Siemens_198,32,1.2908,2.6499,0.2105,0.2105,0.2105,1.5523,1.5523,1.5523,0.2263,5.6755
fCMR_Siemens_018,33,1.8664,3.0474,0.5148,0.7722,0.5139,2.3052,2.3052,2.3052,0.5615,7.9517
fCMR_Siemens_113,33,2.7027,2.9494,0.07,0.07,0.07,6.5028,6.5028,6.5028,0.1202,13.7174
fCMR_Siemens_027,33,2.6554,0.5593,0.0425,0.3648,0.4632,2.5252,2.5252,2.5252,0.6982,10.7028
fCMR_Siemens_006,33,1.3358,2.7896,0.2907,0.3404,0.7633,1.9104,1.9104,1.9104,0.8254,11.6404
fCMR_Siemens_144,33,2.0391,2.3985,0.097,0.097,0.097,2.1193,2.1193,2.1193,0.1233,5.9912
fCMR_Siemens_068,33,1.3154,3.83,0.3887,0.2378,0.3944,2.9477,2.9477,2.9477,0.4384,8.4181
fCMR_Siemens_198,33,2.7254,2.5748,0.2005,0.2006,0.2007,1.9623,1.9623,1.9623,0.2249,6.0906
fCMR_Siemens_018,34,2.4187,1.8465,0.1912,0.2848,0.1913,0.7181,0.7181,0.7181,0.2246,3.1262
fCMR_Siemens_113,34,1.6994,2.888,0.0808,0.4476,0.0808,8.9492,8.9492,8.9492,0.1367,19.3724
fCMR_Siemens_027,34,1.9415,0.6014,0.1831,0.183,0.183,1.2756,1.2756,1.2756,0.2585,5.9153
fCMR_Siemens_006,34,1.4279,1.8978,0.4212,1.0319,0.6159,1.6954,1.6954,1.6954,0.6522,9.3199
fCMR_Siemens_144,34,1.3216,1.8861,0.1134,0.1135,0.1135,2.4198,2.4198,2.4198,0.1393,5.7277
fCMR_Siemens_068,34,2.1782,2.4025,0.5736,0.5736,0.5736,0.7705,0.7705,0.7705,0.5805,4.5697
fCMR_Siemens_198,34,2.7312,1.1687,0.2541,0.2541,0.2541,1.5822,1.5822,1.5822,0.2683,4.265
fCMR_Siemens_018,35,1.6273,3.0746,0.147,0.1472,0.1473,1.8644,1.8644,1.8644,0.2409,6.1688
fCMR_Siemens_113,35,1.9824,1.9487,0.0408,0.0408,0.0408,7.1525,7.1525,7.1525,0.1191,15.9451
fCMR_Siemens_027,35,1.9163,2.0588,0.1391,0.1391,0.1391,2.0373,2.0373,2.0373,0.187,6.9613
fCMR_Siemens_006,35,2.2833,2.0026,0.2294,0.2295,0.2295,2.3391,2.3391,2.3391,0.238,5.9051
fCMR_Siemens_144,35,2.3504,2.5343,0.1865,0.1865,0.1865,1.5768,1.5768,1.5768,0.1961,5.1116
fCMR_Siemens_068,35,2.4089,2.1113,0.4123,0.4122,0.4121,2.3511,2.3511,2.3511,0.4263,7.3558
fCMR_Siemens_198,35,2.3849,1.6664,0.3342,0.5066,0.5613,2.2158,2.2158,2.2158,0.7218,7.7942
fCMR_Siemens_018,36,2.6071,2.2372,0.2537,0.2542,0.2544,0.1605,0.1605,0.1605,0.3085,2.9477
fCMR_Siemens_113,36,1.5838,1.4161,0.1219,0.1219,0.1219,7.9586,7.9586,7.9586,0.1579,17.4408
fCMR_Siemens_027,36,1.881,2.7293,0.1169,0.1169,0.1169,3.2061,3.2061,3.2061,0.1677,7.9814
fCMR_Siemens_006,36,2.4699,2.1522,0.4044,1.1343,0.7448,1.4363,1.4363,1.4363,0.7642,6.5185
fCMR_Siemens_144,36,0.9775,2.7204,0.083,0.083,0.083,0.5517,0.5517,0.5517,0.1127,2.2878
fCMR_Siemens_068,36,2.885,2.6887,0.3806,0.3808,0.3809,2.3815,2.3815,2.3815,0.398,7.9582
fCMR_Siemens_198,36,1.1811,3.3919,0.3234,0.3234,0.3234,1.251,1.251,1.251,0.3342,3.6571
fCMR_Siemens_018,37,3.0948,1.3257,0.6228,0.6254,0.6262,1.9865,1.9865,1.9865,0.6465,5.3212
fCMR_Siemens_113,37,0.9389,2.3621,0.1023,0.1021,0.1021,5.8893,5.8893,5.8893,0.1696,14.3632
fCMR_Siemens_027,37,1.1288,2.5753,0.0642,0.0642,0.0642,1.0736,1.0736,1.0736,0.1153,3.9008
fCMR_Siemens_006,37,2.5465,2.3515,0.3181,0.6323,0.7173,2.0276,2.0276,2.0276,0.7822,6.9478
fCMR_Siemens_144,37,2.4426,1.9922,0.1093,0.1093,0.1093,2.9265,2.9265,2.9265,0.136,8.5231
fCMR_Siemens_068,37,1.4556,2.0258,0.5344,0.786,0.5339,2.5813,2.5813,2.5813,0.5506,7.2923
fCMR_Siemens_198,37,2.5518,2.4928,0.2876,0.3533,0.2879,0.7325,0.7325,0.7325,0.3021,3.0889
fCMR_Siemens_018,38,2.9073,2.7932,0.3538,0.3536,0.3535,0.8024,0.8024,0.8024,0.3794,3.6429
fCMR_Siemens_113,38,3.0912,2.6596,0.0626,0.0626,0.0626,6.4751,6.4751,6.4751,0.1408,14.4225
fCMR_Siemens_027,38,3.0813,1.5018,0.1302,0.1301,0.1301,3.744,3.744,3.744,0.1695,8.9258
fCMR_Siemens_006,38,2.5116,0.8084,0.1873,0.1873,0.1873,3.979,3.979,3.979,0.2168,8.9093
fCMR_Siemens_144,38,1.3332,2.48,0.0972,0.0972,0.0972,2.039,2.039,2.039,0.1324,5.4616
fCMR_Siemens_068,38,2.1982,1.8302,0.4095,0.4096,0.4096,0.6866,0.6866,0.6866,0.425,2.4238
fCMR_Siemens_198,38,2.537,3.5928,0.2732,0.2732,0.2732,1.3853,1.3853,1.3853,0.2895,4.4382
fCMR_Siemens_018,39,2.4095,2.479,0.0603,0.0607,0.0609,0.2604,0.2604,0.2604,0.1849,2.1948
fCMR_Siemens_113,39,2.4002,2.533,0.1378,0.1378,0.1378,8.411,8.411,8.411,0.1557,18.0469
fCMR_Siemens_027,39,1.4451,2.3478,0.1661,0.166,0.166,0.6419,0.6419,0.6419,0.18,2.383
fCMR_Siemens_006,39,0.7235,2.4725,0.3388,0.3391,0.3392,1.8523,1.8523,1.8523,0.352,4.4659
fCMR_Siemens_144,39,1.9074,1.1868,0.1152,0.1092,0.1152,0.6277,0.6277,0.6277,0.1961,2.6492
fCMR_Siemens_068,39,1.176,2.9138,0.644,0.6446,0.6448,0.7015,0.7015,0.7015,0.6644,2.5022
fCMR_Siemens_198,39,2.253,0.9411,0.235,0.235,0.235,2.2544,2.2544,2.2544,0.2453,6.6123
fCMR_Siemens_018,40,1.9991,2.0996,0.3229,0.3224,0.3222,0.3566,0.3566,0.3566,0.354,1.7919
fCMR_Siemens_113,40,0.9794,3.5949,0.1123,0.1124,0.1124,8.7134,8.7134,8.7134,0.1484,18.2853
fCMR_Siemens_027,40,2.8451,3.2763,0.1609,0.4254,0.7061,1.3107,1.3107,1.3107,0.7704,6.3911
fCMR_Siemens_006,40,1.8275,2.1036,0.2098,0.2097,0.2097,4.3409,4.3409,4.3409,0.2555,9.5485
fCMR_Siemens_144,40,1.7933,1.8137,0.1374,0.1374,0.1374,2.0118,2.0118,2.0118,0.1532,5.5233
fCMR_Siemens_068,40,2.4258,2.8762,0.6051,0.6052,0.6053,0.3613,0.3613,0.3613,0.6186,1.3732
fCMR_Siemens_198,40,1.7275,1.9008,0.2638,0.2638,0.2639,0.5961,0.5961,0.5961,0.2938,1.9035
fCMR_Siemens_018,41,1.7687,2.7078,0.1209,0.1219,0.1222,0.9748,0.9748,0.9748,0.3501,4.7439
fCMR_Siemens_113,41,3.0574,2.0044,0.0203,0.0203,0.0203,5.3609,5.3609,5.3609,0.0632,12.4914
fCMR_Siemens_027,41,2.6144,3.0524,0.1194,0.1193,0.1193,0.9862,0.9862,0.9862,0.1536,3.7768
fCMR_Siemens_006,41,2.7747,2.9518,0.2526,0.2526,0.2526,4.0315,4.0315,4.0315,0.2767,10.4311
fCMR_Siemens_144,41,2.5366,3.1238,0.1456,0.1457,0.1457,2.8358,2.8358,2.8358,0.164,7.6513
fCMR_Siemens_068,41,2.1055,2.9712,0.4486,0.449,0.4492,0.8888,0.8888,0.8888,0.4608,4.3582
fCMR_Siemens_198,41,2.2743,3.8973,0.2785,0.2793,0.2796,0.8404,0.8404,0.8404,0.3249,3.2536
fCMR_Siemens_018,42,3.0802,3.0268,0.3691,0.3839,0.3886,2.745,2.745,2.745,0.4238,11.0926
fCMR_Siemens_113,42,1.6238,1.2684,0.0843,0.1449,0.0843,9.3157,9.3157,9.3157,0.119,19.6289
fCMR_Siemens_027,42,2.1522,2.9904,0.1527,0.1527,0.1527,0.3242,0.3242,0.3242,0.1831,1.4271
fCMR_Siemens_006,42,2.3391,2.3146,0.3458,0.3546,0.3574,1.1033,1.1033,1.1033,0.4129,4.0172
fCMR_Siemens_144,42,3.0659,1.6951,0.0593,0.0593,0.0593,1.5368,1.5368,1.5368,0.1644,4.1382
fCMR_Siemens_068,42,2.9379,3.2504,0.489,0.4896,0.4897,0.5101,0.5101,0.5101,0.516,4.5734
fCMR_Siemens_198,42,3.0427,1.259,0.3238,0.3238,0.3238,1.0098,1.0098,1.0098,0.3576,3.0755
fCMR_Siemens_018,43,2.0591,2.1164,0.5391,0.5431,0.5444,0.5918,0.5918,0.5918,0.5548,4.335
fCMR_Siemens_113,43,2.8876,3.0975,0.1247,0.1247,0.1247,5.7949,5.7949,5.7949,0.1519,12.674
fCMR_Siemens_027,43,1.9143,1.6371,0.375,0.3725,0.5435,2.0365,2.0365,2.0365,0.61,8.6884
fCMR_Siemens_006,43,3.0643,2.4084,0.35,0.6897,0.7817,3.6642,3.6642,3.6642,0.7986,14.0168
fCMR_Siemens_144,43,2.7073,1.3698,0.1661,0.166,0.166,1.9406,1.9406,1.9406,0.2153,6.198
fCMR_Siemens_068,43,0.8531,1.9193,0.6602,0.6602,0.6601,0.8837,0.8837,0.8837,0.6655,3.0659
fCMR_Siemens_198,43,2.4294,2.4157,0.2784,0.2786,0.2787,3.1236,3.1236,3.1236,0.3251,7.9662
fCMR_Siemens_018,44,1.765,2.0651,0.4011,3.136,0.8,2.7695,2.7695,2.7695,0.8881,9.2055
fCMR_Siemens_113,44,1.871,3.288,0.0717,0.0718,0.0718,6.5955,6.5955,6.5955,0.1447,15.5427
fCMR_Siemens_027,44,2.5158,3.0914,0.1726,0.1726,0.1726,1.9407,1.9407,1.9407,0.2094,5.449
fCMR_Siemens_006,44,2.696,1.7515,0.2714,0.2716,0.2717,1.129,1.129,1.129,0.2933,3.3364
fCMR_Siemens_144,44,1.8818,1.3882,0.1198,0.1198,0.1198,2.6942,2.6942,2.6942,0.1456,6.5799
fCMR_Siemens_068,44,3.0189,2.6191,0.4447,0.4441,0.444,0.111,0.111,0.111,0.4625,4.182
fCMR_Siemens_198,44,2.6007,1.6257,0.2166,0.2166,0.2166,1.4279,1.4279,1.4279,0.2331,3.8641
fCMR_Siemens_018,45,2.9295,2.0472,0.1368,0.137,0.137,0.7616,0.7616,0.7616,0.1795,2.7022
fCMR_Siemens_113,45,2.8438,2.9065,0.1116,0.1117,0.1117,7.838,7.838,7.838,0.1426,16.9016
fCMR_Siemens_027,45,2.37,2.4447,0.1985,0.1982,0.1982,1.7263,1.7263,1.7263,0.3019,5.7588
fCMR_Siemens_006,45,2.9264,3.3548,0.308,0.3079,0.3079,5.3778,5.3778,5.3778,0.3222,12.5314
fCMR_Siemens_144,45,0.9751,3.172,0.1506,0.1506,0.1506,1.2617,1.2617,1.2617,0.1811,4.4636
fCMR_Siemens_068,45,2.8523,2.0041,0.2229,0.2231,0.2231,3.4056,3.4056,3.4056,0.2625,8.1424
fCMR_Siemens_198,45,2.8915,3.4231,0.1952,0.3433,0.1952,2.5533,2.5533,2.5533,0.2175,6.1486
fCMR_Siemens_018,46,1.8111,2.6683,0.115,0.1161,0.1164,1.4255,1.4255,1.4255,0.2221,5.6738
fCMR_Siemens_113,46,1.8857,2.1506,0.0858,0.0858,0.0858,9,9,9,0.1312,18.9681
fCMR_Siemens_027,46,2.1297,2.4271,0.1262,0.1263,0.1263,0.7861,0.7861,0.7861,0.1617,3.94
fCMR_Siemens_006,46,1.7175,2.3963,0.1744,0.1743,0.1742,3.6576,3.6576,3.6576,0.2362,8.7273
fCMR_Siemens_144,46,3.0784,2.9839,0.0539,0.0539,0.0539,1.9915,1.9915,1.9915,0.1407,5.2064
fCMR_Siemens_068,46,2.7243,0.6785,0.7326,0.7286,0.7273,0.9147,0.9147,0.9147,0.7391,6.5143
fCMR_Siemens_198,46,2.2815,2.957,0.2633,0.3338,0.2632,0.2485,0.2485,0.2485,0.2943,1.812
fCMR_Siemens_018,47,2.4918,1.3506,0.2653,0.2654,0.2654,1.1819,1.1819,1.1819,0.3191,4.6748
fCMR_Siemens_113,47,0.8557,3.304,0.0647,0.0642,0.0641,3.9332,3.9332,3.9332,0.1931,11.2654
fCMR_Siemens_027,47,2.7414,2.8106,0.1438,0.1437,0.1437,0.6315,0.6315,0.6315,0.1706,3.7424
fCMR_Siemens_006,47,2.9927,2.8678,0.2846,0.2848,0.2849,3.7679,3.7679,3.7679,0.3291,9.6082
fCMR_Siemens_144,47,2.3167,2.6049,0.0588,0.0587,0.0587,1.3159,1.3159,1.3159,0.117,4.7089
fCMR_Siemens_068,47,2.7096,1.9059,0.3293,0.3296,0.3297,2.4154,2.4154,2.4154,0.3529,6.8236
fCMR_Siemens_198,47,2.7993,1.2177,0.2452,0.2452,0.2452,1.0424,1.0424,1.0424,0.2539,3.6973
fCMR_Siemens_018,48,2.8503,2.4622,0.2965,0.3634,0.2965,0.5004,0.5004,0.5004,0.3278,2.7592
fCMR_Siemens_113,48,2.5975,2.0246,0.0533,0.0534,0.0534,4.8647,4.8647,4.8647,0.1412,11.5746
fCMR_Siemens_027,48,1.3742,2.4912,0.1864,0.1865,0.1866,1.0461,1.0461,1.0461,0.2528,3.8514
fCMR_Siemens_006,48,1.9441,2.8638,0.3123,0.3124,0.3125,1.6664,1.6664,1.6664,0.3411,4.3535
fCMR_Siemens_144,48,1.386,1.3681,0.191,0.191,0.191,2.5352,2.5352,2.5352,0.1961,6.4354
fCMR_Siemens_068,48,1.5749,1.8512,0.281,0.2817,0.2819,3.0204,3.0204,3.0204,0.305,8.4946
fCMR_Siemens_198,48,3.0267,2.1957,0.2374,0.2374,0.2374,2.4945,2.4945,2.4945,0.264,7.0254
fCMR_Siemens_018,49,1.8246,2.7188,0.1423,0.1425,0.1426,0.9345,0.9345,0.9345,0.2035,2.9559
fCMR_Siemens_113,49,3.0689,2.734,0.061,0.061,0.061,4.6218,4.6218,4.6218,0.0916,11.091
fCMR_Siemens_027,49,3.0574,0.8683,0.2059,0.2059,0.2059,0.8696,0.8696,0.8696,0.2376,3.7981
fCMR_Siemens_006,49,2.3615,2.6669,0.3124,0.3124,0.3124,5.0836,5.0836,5.0836,0.3291,11.0549
fCMR_Siemens_144,49,2.1783,3.636,0.1326,0.1325,0.1325,2.3502,2.3502,2.3502,0.1792,5.6121
fCMR_Siemens_068,49,2.6313,1.899,0.4494,0.4485,0.4482,1.2749,1.2749,1.2749,0.4652,4.0096
fCMR_Siemens_198,49,2.0642,3.4678,0.2696,0.2699,0.27,1.7976,1.7976,1.7976,0.2939,6.3856
fCMR_Siemens_018,50,3.0613,2.6682,0.511,0.602,0.7448,1.9867,1.9867,1.9867,0.9042,7.2335
fCMR_Siemens_113,50,3.1008,2.2315,0.023,0.0231,0.0232,4.6303,4.6303,4.6303,0.1407,9.9561
fCMR_Siemens_027,50,2.8653,2.564,0.1342,0.1342,0.1342,1.5876,1.5876,1.5876,0.158,5.0953
fCMR_Siemens_006,50,1.2675,0.576,0.4095,0.3624,0.6369,0.6988,0.6988,0.6988,0.6842,5.53
fCMR_Siemens_144,50,2.6572,1.4822,0.0966,0.0967,0.0967,2.4519,2.4519,2.4519,0.1418,5.9621
fCMR_Siemens_068,50,3.1378,1.4945,0.9771,0.6116,0.9791,0.9112,0.9112,0.9112,0.9827,4.9002
fCMR_Siemens_198,50,1.0901,2.7051,0.2316,0.2316,0.2316,0.895,0.895,0.895,0.2443,3.2195
fCMR_Siemens_018,51,3.0583,2.25,0.5872,0.5869,0.5869,0.5166,0.5166,0.5166,0.5934,2.1084
fCMR_Siemens_113,51,1.9057,2.6394,0.0844,0.0844,0.0844,4.679,4.679,4.679,0.1151,10.5849
fCMR_Siemens_027,51,2.4619,2.5905,0.1406,0.1406,0.1406,1.3075,1.3075,1.3075,0.1554,3.5803
fCMR_Siemens_006,51,1.2447,2.6859,0.1885,0.1883,0.1883,1.8555,1.8555,1.8555,0.2414,5.4326
fCMR_Siemens_144,51,2.6236,3.4425,0.2137,0.2139,0.214,2.8435,2.8435,2.8435,0.2368,7.7567
fCMR_Siemens_068,51,2.7488,2.3855,0.221,0.354,0.2211,1.8666,1.8666,1.8666,0.2534,5.476
fCMR_Siemens_198,51,1.9187,2.658,0.1913,0.1913,0.1913,1.2413,1.2413,1.2413,0.1986,4.7525
fCMR_Siemens_018,52,2.3734,1.9086,0.4584,0.4536,0.4521,3.2861,3.2861,3.2861,0.5502,8.4658
fCMR_Siemens_113,52,1.4172,3.2091,0.0851,0.0849,0.0848,6.7238,6.7238,6.7238,0.2194,15.2307
fCMR_Siemens_027,52,3.0422,2.0461,0.2025,0.2021,0.202,0.7161,0.7161,0.7161,0.2574,3.492
fCMR_Siemens_006,52,1.4267,1.6779,0.2171,0.1762,0.2171,1.5679,1.5679,1.5679,0.2223,4.2738
fCMR_Siemens_144,52,1.9985,2.558,0.0784,0.0784,0.0784,1.5669,1.5669,1.5669,0.1037,4.7685
fCMR_Siemens_068,52,2.9469,2.2776,0.6236,1.3305,0.9242,1.4786,1.4786,1.4786,1.0205,7.5554
fCMR_Siemens_198,52,1.2527,3.5272,0.2625,0.2625,0.2625,0.9291,0.9291,0.9291,0.2814,2.841
fCMR_Siemens_018,53,2.1771,2.7971,0.2829,0.2829,0.2829,0.7097,0.7097,0.7097,0.2893,3.0531
fCMR_Siemens_113,53,2.2868,2.6606,0.1276,0.1276,0.1276,5.0133,5.0133,5.0133,0.15,11.5175
fCMR_Siemens_027,53,0.3992,3.3011,0.1721,0.1718,0.1717,1.312,1.312,1.312,0.2397,3.844
fCMR_Siemens_006,53,2.3521,3.0604,0.2863,0.2863,0.2863,2.621,2.621,2.621,0.2963,6.5874
fCMR_Siemens_144,53,2.0022,1.8086,0.2363,0.2572,0.2363,2.0156,2.0156,2.0156,0.2614,5.2645
fCMR_Siemens_068,53,1.8601,2.8622,0.3771,0.3814,0.3829,1.0588,1.0588,1.0588,0.4056,4.312
fCMR_Siemens_198,53,2.0927,1.7725,0.1818,0.1818,0.1817,0.7896,0.7896,0.7896,0.2078,3.4901
fCMR_Siemens_018,54,2.0934,2.2755,0.267,1.0028,0.2675,1.1099,1.1099,1.1099,0.3613,3.7158
fCMR_Siemens_113,54,1.6581,2.4889,0.1228,0.1228,0.1228,3.3637,3.3637,3.3637,0.1296,7.5336
fCMR_Siemens_027,54,1.8937,1.8467,0.0951,0.0952,0.0952,1.3909,1.3909,1.3909,0.1654,4.5184
fCMR_Siemens_006,54,2.1902,2.661,0.4367,0.6826,0.7489,1.733,1.733,1.733,0.7771,7.0581
fCMR_Siemens_144,54,2.0322,1.5112,0.1289,0.4031,0.1293,1.9248,1.9248,1.9248,0.1797,4.7083
fCMR_Siemens_068,54,1.9479,2.5302,0.5035,0.5776,0.5039,0.2304,0.2304,0.2304,0.5225,2.1162
fCMR_Siemens_198,54,2.7178,2.1302,0.1802,0.181,0.1813,0.5552,0.5552,0.5552,0.2415,2.5953
fCMR_Siemens_018,55,2.2576,2.9846,0.2275,0.2408,0.2449,0.9262,0.9262,0.9262,0.4112,3.8951
fCMR_Siemens_113,55,2.5781,0.4253,0.0867,0.0867,0.0867,6.0565,6.0565,6.0565,0.1295,13.318
fCMR_Siemens_027,55,2.9783,3.3986,0.1412,0.1414,0.1414,1.5746,1.5746,1.5746,0.1733,6.2783
fCMR_Siemens_006,55,2.844,2.724,0.2061,0.2061,0.2062,1.8393,1.8393,1.8393,0.2187,4.9472
fCMR_Siemens_144,55,0.8685,3.084,0.1208,0.1208,0.1208,0.3499,0.3499,0.3499,0.1633,1.574
fCMR_Siemens_068,55,1.7489,2.7015,0.5077,0.3214,0.512,2.73,2.73,2.73,0.5394,8.8707
fCMR_Siemens_198,55,3.0963,2.8263,0.2371,0.2371,0.2371,0.9295,0.9295,0.9295,0.2537,4.7812
fCMR_Siemens_018,56,3.0385,1.4709,0.2809,0.2817,0.2819,2.1294,2.1294,2.1294,0.3145,8.26
fCMR_Siemens_113,56,1.1124,2.3702,0.1208,0.1208,0.1208,4.3155,4.3155,4.3155,0.1339,9.4177
fCMR_Siemens_027,56,2.9652,4.0164,0.1454,0.1455,0.1455,1.9,1.9,1.9,0.1905,5.9276
fCMR_Siemens_006,56,2.9991,1.9451,0.3927,0.3936,0.394,3.0294,3.0294,3.0294,0.4047,8.9374
fCMR_Siemens_144,56,0.3241,3.6778,0.0993,0.0992,0.0992,2.8439,2.8439,2.8439,0.1723,9.364
fCMR_Siemens_068,56,1.8196,1.3204,0.4725,1.312,0.4749,0.6146,0.6146,0.6146,0.4798,2.489
fCMR_Siemens_198,56,2.0807,1.8149,0.278,0.2781,0.2781,1.3438,1.3438,1.3438,0.2968,4.9788
fCMR_Siemens_018,57,1.8197,2.4957,0.3114,0.3131,0.3136,1.8977,1.8977,1.8977,0.4134,7.735
fCMR_Siemens_113,57,2.1274,2.2411,0.0701,0.07,0.07,6.6423,6.6423,6.6423,0.1395,13.9214
fCMR_Siemens_027,57,1.0192,1.72,0.177,0.1768,0.1767,0.8626,0.8626,0.8626,0.2041,4.8164
fCMR_Siemens_006,57,2.4334,2.6471,0.2092,0.2091,0.2091,1.4958,1.4958,1.4958,0.261,4.0566
fCMR_Siemens_144,57,3.0557,3.099,0.1218,0.1218,0.1218,1.416,1.416,1.416,0.1427,4.5691
fCMR_Siemens_068,57,2.3805,2.0223,0.5768,0.5772,0.5774,0.9385,0.9385,0.9385,0.5868,2.8542
fCMR_Siemens_198,57,0.9427,1.2672,0.2655,0.2655,0.2655,2.8736,2.8736,2.8736,0.2855,6.939
fCMR_Siemens_018,58,2.7536,1.8149,0.3065,0.3117,0.3133,1.3181,1.3181,1.3181,0.345,4.9853
fCMR_Siemens_113,58,2.457,1.9324,0.0936,0.0936,0.0936,6.1916,6.1916,6.1916,0.122,13.6828
fCMR_Siemens_027,58,2.7442,4.0928,0.2387,0.2388,0.2389,1.2594,1.2594,1.2594,0.3216,4.2152
fCMR_Siemens_006,58,1.2439,3.0379,0.5199,0.5331,0.5373,2.0111,2.0111,2.0111,0.5573,4.4162
fCMR_Siemens_144,58,3.1063,2.0058,0.1197,0.1196,0.1196,1.9521,1.9521,1.9521,0.1507,4.4794
fCMR_Siemens_068,58,1.5909,2.5686,0.6218,0.2846,0.6258,0.359,0.359,0.359,0.6308,3.6999
fCMR_Siemens_198,58,2.9515,2.8021,0.2775,0.2774,0.2774,1.1358,1.1358,1.1358,0.3124,4.5504
fCMR_Siemens_018,59,3.0995,2.4921,0.248,0.2492,0.2497,1.5461,1.5461,1.5461,0.2715,5.3394
fCMR_Siemens_113,59,2.6038,2.7136,0.0891,0.0891,0.0891,4.8835,4.8835,4.8835,0.124,11.2857
fCMR_Siemens_027,59,2.7222,1.8223,0.1612,0.1613,0.1613,1.4148,1.4148,1.4148,0.2147,3.8962
fCMR_Siemens_006,59,2.418,2.087,0.3057,0.3057,0.3057,1.9736,1.9736,1.9736,0.3312,6.3005
fCMR_Siemens_144,59,2.462,1.5418,0.2081,0.2082,0.2082,1.3888,1.3888,1.3888,0.2163,3.7318
fCMR_Siemens_068,59,2.27,2.7018,0.7602,0.4941,0.7612,0.7882,0.7882,0.7882,0.7657,3.9679
fCMR_Siemens_198,59,2.0585,2.8804,0.2452,0.2452,0.2452,2.0363,2.0363,2.0363,0.2537,6.204
fCMR_Siemens_018,60,1.5876,2.4834,0.4283,0.4318,0.4329,1.3305,1.3305,1.3305,0.4856,7.0682
fCMR_Siemens_113,60,1.4411,1.8352,0.0535,0.0535,0.0535,7.1664,7.1664,7.1664,0.1219,15.4669
fCMR_Siemens_027,60,1.7018,1.3371,0.1561,0.1562,0.1562,1.552,1.552,1.552,0.1961,5.1684
fCMR_Siemens_006,60,1.9953,3.0466,0.4716,0.617,0.6573,2.7083,2.7083,2.7083,0.6975,8.8524
fCMR_Siemens_144,60,2.6291,2.7491,0.2164,0.2164,0.2164,3.5337,3.5337,3.5337,0.232,8.315
fCMR_Siemens_068,60,2.781,0.6781,0.6169,0.6169,0.6169,3.0703,3.0703,3.0703,0.6252,8.4911
fCMR_Siemens_198,60,2.224,3.7642,0.214,0.214,0.214,0.9466,0.9466,0.9466,0.2198,2.6163
fCMR_Siemens_018,61,2.0198,2.842,0.0563,0.0575,0.0579,1.2837,1.2837,1.2837,0.1865,6.1396
fCMR_Siemens_113,61,2.9599,2.5071,0.1045,0.1045,0.1045,6.2369,6.2369,6.2369,0.1281,13.8686
fCMR_Siemens_027,61,2.0261,3.3253,0.1358,0.1358,0.1358,3.2861,3.2861,3.2861,0.1714,10.1616
fCMR_Siemens_006,61,1.1682,2.0036,0.2802,0.281,0.2812,3.3777,3.3777,3.3777,0.3135,8.4316
fCMR_Siemens_144,61,2.0268,1.4646,0.1083,0.1083,0.1083,1.267,1.267,1.267,0.1532,3.3706
fCMR_Siemens_068,61,2.9512,1.9919,0.6162,0.4388,0.6167,0.8687,0.8687,0.8687,0.6305,3.4228
fCMR_Siemens_198,61,2.7164,3.1574,0.284,0.2841,0.2841,1.8436,1.8436,1.8436,0.3044,4.3061
fCMR_Siemens_018,62,2.6035,1.9905,0.3775,0.3777,0.3778,3.3021,3.3021,3.3021,0.405,8.1963
fCMR_Siemens_113,62,2.0338,2.122,0.1079,0.1079,0.1079,4.0773,4.0773,4.0773,0.1502,9.5932
fCMR_Siemens_027,62,2.837,2.3983,0.0975,0.0976,0.0977,2.2684,2.2684,2.2684,0.2157,7.3474
fCMR_Siemens_006,62,3.0814,1.2013,0.2979,0.5463,0.2979,3.258,3.258,3.258,0.3233,7.9602
