subject_id,step,angle,translation,GD_EP,CD_EP,GD_IP,CD_IP
fCMR_Siemens_018,9,2.4751,1.1401,1.5514,9.8933,1.8002,32.1407
fCMR_Siemens_113,9,0.7424,0.9909,0.0911,7.2529,0.1371,17.1201
fCMR_Siemens_027,9,1.2814,1.611,0.2842,1.154,0.3282,4.2551
fCMR_Siemens_006,9,2.257,3.0111,0.442,4.3824,0.714,15.8231
fCMR_Siemens_144,9,2.7316,2.7136,0.1666,2.6665,0.2017,6.6487
fCMR_Siemens_068,9,2.3144,2.8132,2.349,10.1889,2.345,23.017
fCMR_Siemens_198,9,2.0477,2.4804,0.1281,0.778,0.174,2.9164
fCMR_Siemens_018,10,2.8339,2.2074,1.3822,6.8338,1.4262,24.4198
fCMR_Siemens_113,10,2.3049,1.2375,0.0923,8.3871,0.132,19.0092
fCMR_Siemens_027,10,2.478,2.0486,0.1305,3.0023,0.1877,7.2107
fCMR_Siemens_006,10,2.5688,2.5751,0.3864,1.5259,0.8842,5.773
fCMR_Siemens_144,10,2.0718,2.6105,0.3343,0.758,0.9039,10.717
fCMR_Siemens_068,10,2.6673,3.7995,1.1065,3.8603,1.4425,16.6259
fCMR_Siemens_198,10,0.9859,2.3864,0.2817,2.4764,0.3157,8.6905
fCMR_Siemens_018,11,3.1416,2.0611,2.1101,22.0421,2.1489,46.7444
fCMR_Siemens_113,11,1.0035,2.4716,0.1447,5.6727,0.1827,18.9058
fCMR_Siemens_027,11,1.6605,2.7142,0.2759,2.0126,0.3567,8.3726
fCMR_Siemens_006,11,3.0044,3.4689,0.396,1.1267,0.8748,6.2812
fCMR_Siemens_144,11,2.9944,3.2581,0.147,1.9592,0.236,7.2689
fCMR_Siemens_068,11,2.0229,1.998,1.095,0.0074,1.1228,3.6361
fCMR_Siemens_198,11,1.8014,2.4232,0.2187,2.3321,0.2378,5.661
fCMR_Siemens_018,12,2.6803,2.684,0.597,0.3241,0.7527,5.3681
fCMR_Siemens_113,12,3.0276,2.6999,0.0631,5.6233,0.1379,12.939
fCMR_Siemens_027,12,2.9812,1.3195,0.3394,1.0402,0.3605,4.2396
fCMR_Siemens_006,12,2.892,3.1128,0.1824,3.1422,0.2235,8.8835
fCMR_Siemens_144,12,0.8524,3.011,0.2249,0.4979,0.2513,2.1469
fCMR_Siemens_068,12,0.5723,3.1596,0.3405,11.2261,1.4458,27.732
fCMR_Siemens_198,12,1.2042,0.6203,0.2258,1.8212,0.2654,4.9779
fCMR_Siemens_018,13,3.1001,1.5231,1.8044,22.5437,2.1223,49.0351
fCMR_Siemens_113,13,1.326,2.0492,0.104,6.455,0.1734,15.0582
fCMR_Siemens_027,13,2.0498,2.5507,0.1191,3.8325,0.1835,10.6028
