subject_id,step,angle,translation,GD_EP,CD_EP,GD_IP,CD_IP
fCMR_Philips_104,3,2.0718,2.6105,0.1464,1.3377,0.1903,3.4877
fCMR_Philips_094,3,2.6673,3.7995,0.1065,0.0106,0.1602,0.735
fCMR_Philips_136,3,0.9859,2.3864,0.1724,0.4552,0.1804,1.3482
fCMR_Philips_087,3,3.1416,2.0611,0.3705,1.6959,0.378,4.2529
fCMR_Philips_003,3,1.0035,2.4716,0.1687,0.2504,0.1834,1.0392
fCMR_Philips_047,3,1.6605,2.7142,0.3415,4.6507,0.3616,11.3201
fCMR_Philips_057,3,3.0044,3.4689,0.2653,0.5433,0.2723,1.4759
fCMR_Philips_097,3,2.9944,3.2581,0.3831,0.0932,0.4053,1.0969
fCMR_Philips_070,3,2.0229,1.998,0.4437,0.4348,0.4587,1.8332
fCMR_Philips_068,3,1.8014,2.4232,0.2358,0.619,0.2464,1.972
fCMR_Philips_117,4,2.6803,2.684,0.1724,1.6133,0.2279,3.7551
fCMR_Philips_002,4,3.0276,2.6999,0.2656,0.5169,0.2745,1.648
fCMR_Philips_052,4,2.9812,1.3195,0.1294,0.3558,0.1746,2.202
fCMR_Philips_123,4,2.892,3.1128,0.0771,0.891,0.15,2.5232
fCMR_Philips_079,4,0.8524,3.011,0.1296,0.4784,0.159,2.326
fCMR_Philips_041,4,0.5723,3.1596,0.1567,0.4192,0.2018,1.4923
fCMR_Philips_090,4,1.2042,0.6203,0.1199,0.7487,0.1763,2.0773
fCMR_Philips_114,4,3.1001,1.5231,0.1849,1.4746,0.2088,3.1018
fCMR_Philips_065,4,1.326,2.0492,0.1367,1.7496,0.1622,4.0764
fCMR_Philips_132,4,2.0498,2.5507,0.2963,4.6476,0.3085,9.7946
fCMR_Philips_031,4,2.9288,1.8507,0.0921,0.3615,0.123,1.0441
fCMR_Philips_104,4,1.5865,1.3412,0.152,2.2668,0.1914,4.8748
fCMR_Philips_094,4,0.8898,3.0815,0.1711,1.4618,0.1863,3.5395
fCMR_Philips_136,4,2.2512,1.9814,0.1911,0.5793,0.21,1.7173
fCMR_Philips_087,4,2.6129,2.9887,0.3943,2.5314,0.4184,5.711
fCMR_Philips_003,4,2.4285,2.3169,0.1946,0.4135,0.2076,2.2064
fCMR_Philips_047,4,2.8615,3.0603,0.3306,6.3715,0.3493,13.1401
fCMR_Philips_057,4,3.05,1.8323,0.2556,0.8142,0.2622,2.4568
fCMR_Philips_097,4,0.7463,2.6497,0.3479,0.6988,0.3649,2.1918
fCMR_Philips_070,4,2.4915,2.9893,0.3916,1.0693,0.4148,2.5741
fCMR_Philips_068,4,2.7026,3.1677,0.2701,0.8237,0.2737,2.4081
fCMR_Philips_117,5,1.3093,2.6505,0.1181,0.265,0.155,0.8894
fCMR_Philips_002,5,3.0318,1.4545,0.2054,0.6488,0.2155,2.4079
fCMR_Philips_052,5,2.1828,1.664,0.1175,0.3688,0.158,1.9493
fCMR_Philips_123,5,2.0372,2.2006,0.1073,0.2129,0.1194,1.5644
fCMR_Philips_079,5,2.9329,2.529,0.1649,1.312,0.1796,3.486
fCMR_Philips_041,5,2.6717,2.8841,0.0606,0.741,0.0785,2.8661
fCMR_Philips_090,5,2.1063,3.5235,0.1081,0.3045,0.1556,1.6245
fCMR_Philips_114,5,2.8493,2.6053,0.1506,1.8136,0.1659,4.3465
fCMR_Philips_065,5,2.9813,2.4242,0.0609,1.671,0.1086,3.9821
fCMR_Philips_132,5,3.1118,2.4177,0.1263,2.9237,0.1517,6.3574
fCMR_Philips_031,5,2.6184,2.5695,0.0906,0.974,0.1248,2.4218
fCMR_Philips_104,5,1.477,2.9198,0.1127,2.0506,0.1407,4.3431
fCMR_Philips_094,5,2.5911,2.2206,0.1583,0.2615,0.2083,1.6742
fCMR_Philips_136,5,2.8067,2.3632,0.0856,0.1536,0.1307,0.5834
fCMR_Philips_087,5,3.1059,2.0913,0.3662,2.4489,0.3719,5.2922
fCMR_Philips_003,5,2.9478,2.005,0.1605,0.1448,0.1784,0.8485
fCMR_Philips_047,5,2.2485,2.6442,0.4204,6.3886,0.4475,14.0772
fCMR_Philips_057,5,1.2741,2.7194,0.2622,0.8292,0.2772,2.3198
fCMR_Philips_097,5,2.3848,2.6989,0.286,0.6889,0.2997,1.7947
fCMR_Philips_070,5,1.9351,2.8141,0.4279,0.2637,0.4348,1.0806
fCMR_Philips_068,5,2.346,2.8881,0.2502,0.9306,0.2732,2.6407
fCMR_Philips_117,6,3.0206,2.6229,0.1719,0.6836,0.1875,1.7338
fCMR_Philips_002,6,3.0954,3.2779,0.1627,1.2976,0.1712,2.764
fCMR_Philips_052,6,2.5048,2.8167,0.1455,0.5867,0.183,2.0285
fCMR_Philips_123,6,1.8831,2.9773,0.1284,0.7161,0.1611,1.7855
fCMR_Philips_079,6,1.4594,2.7995,0.0747,0.6264,0.1028,2.9104
fCMR_Philips_041,6,2.3819,3.0389,0.1039,0.1339,0.1201,0.81
fCMR_Philips_090,6,3.0398,2.7409,0.1383,0.542,0.1635,1.917
fCMR_Philips_114,6,2.0013,2.3013,0.0999,1.9452,0.1076,4.485
fCMR_Philips_065,6,3.0,2.4023,0.1852,1.8317,0.1923,4.5382
fCMR_Philips_132,6,2.3763,1.9304,0.2627,4.6555,0.2713,9.6628
fCMR_Philips_031,6,2.6178,2.9366,0.1389,0.4409,0.1906,1.3612
fCMR_Philips_104,6,1.8828,2.0755,0.1646,3.3037,0.1924,7.2494
fCMR_Philips_094,6,0.9968,2.5302,0.1483,0.8561,0.1706,2.3385
fCMR_Philips_136,6,2.9908,2.5726,0.0987,0.5813,0.1372,2.2046
fCMR_Philips_087,6,3.101,2.561,0.3799,2.2373,0.3849,4.8253
fCMR_Philips_003,6,2.4343,2.3375,0.1552,0.5173,0.169,1.5307
